,linear_regression,elastic,SVR,knr_coords_onehot,xgbr
mean_fit_time,0.05501337051391601,0.07787919044494629,7.192574548721313,0.02038741111755371,1.316107702255249
std_fit_time,0.0077708600383914845,0.002472961770433974,0.4013424666626783,0.004225936223695486,0.2177857857426855
mean_score_time,0.017138576507568358,0.010774326324462891,0.02947392463684082,1.5736655712127685,0.028029251098632812
std_score_time,0.0013844407769762963,0.0015336070263217796,0.004665054767365556,0.18280005533029994,0.01533251972076087
params,{'linear_regression__fit_intercept': True},"{'elastic__alpha': 0.5, 'elastic__fit_intercept': True, 'elastic__l1_ratio': 1}","{'SVR__C': 600000.0, 'SVR__epsilon': 40000.0, 'SVR__gamma': 'auto', 'SVR__kernel': 'rbf'}","{'knr_coords_onehot__metric': 'manhattan', 'knr_coords_onehot__n_neighbors': 10, 'knr_coords_onehot__weights': 'distance'}","{'xgbr__colsample_bylevel': 1, 'xgbr__colsample_bytree': 0.8, 'xgbr__eta': 0.1, 'xgbr__gamma': 0, 'xgbr__lambda': 3, 'xgbr__max_bin': 512, 'xgbr__max_depth': 15, 'xgbr__min_child_weight': 50, 'xgbr__tree_method': 'gpu_hist'}"
split0_test_score,99575.36974693724,99563.46790373612,91072.62434328058,96725.86607524524,75653.40194034323
split1_test_score,98816.55956558876,98819.45389791045,88040.6188931588,93833.15123288259,73127.90725021456
split2_test_score,99449.98916561116,99451.16191052445,90467.65779153175,96129.22030531532,76873.01976571727
split3_test_score,96789.17338206647,96788.53962909615,87398.26153131889,92677.66699198275,73081.9756479832
split4_test_score,98227.68851176486,98235.85928524575,86385.00348067675,94783.67002966932,71261.19345194224
mean_test_score,98571.7560743937,98571.6965253026,88672.83320799335,94829.91492701904,73999.4996112401
std_test_score,1013.3554221658809,1011.0280624060343,1802.153463983185,1477.2049856994981,2004.6124354296821
